[local] 5 -7 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 -7 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 5 -1 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 -1 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 11 -7 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 11 -1 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 5 -13 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 -13 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 11 -13 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 -7 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 -1 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 -13 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 5 1 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 1 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 11 1 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 1 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 9 -7 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 9 -1 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 9 -13 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 9 1 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 5 -11 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -1 -11 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 11 -11 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 -11 80.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 9 -11 70.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] 3 -7 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -1 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -13 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 1 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -11 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 5 -5 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -1 -5 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 11 -5 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -3 -5 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 9 -5 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -5 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -7 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -13 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -11 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -5 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 5 -15 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -1 -15 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 11 -15 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -3 -15 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 9 -15 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -15 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -15 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -7 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -1 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -13 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 1 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -11 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -5 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -15 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 5 3 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -1 3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 11 3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -3 3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 9 3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 3 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -7 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -13 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -11 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -5 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -15 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 5 -9 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -1 -9 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 11 -9 70.0 (best c=8.0, g=0.0078125, rate=90.0)
